Week,Date Range,Lecture,Video Topic
1,Jan-28 – Feb-1,1,"[Introduction](https://youtu.be/o7DQd8FkA6M)"
,,2,"[Single Processor Machines](https://youtu.be/UeVNYwtLJ_s)"
2,Feb-4 – Feb-8,3,"[Optimizing Matrix Multiply (cont), Introduction to Data Parallelism](https://youtu.be/-RegO-8WF88)"
,,4,"[Shared-Memory Programming](https://youtu.be/PR-98tVHFVg)"
3,Feb-11 – Feb-15,5,"[Roofline and Performance Modeling](https://youtu.be/hX8KjB3fJ3M)"
,,6,"Sources of Parallelism and Locality in Simulation (Part 1)<br>[Video 1](https://youtu.be/p51sY0QcXvM), [Video 2](https://youtu.be/EAIHzh0SjaE)"
4,Feb-18 – Feb-22,7,"[Sources of Parallelism and Locality in Simulation (Part 2)](https://youtu.be/5Ol5cNZ9dKM)"
,,8,"[An Introduction to GPGPU Programming](https://youtu.be/2R5R0nXm3xc)"
5,Feb-25 – Mar-1,9,"[Distributed Memory Machines and Programming](https://youtu.be/mKsjQGMllac)"
,,10,"[Advanced MPI and Collective Communication Algorithms](https://youtu.be/Wy33f9J2CWo)"
6,Mar-4 – Mar-8,11,"[UPC and UPC++](https://youtu.be/Urem3J7Mzkc)"
,,12,"[Cloud Computing and Big Data Processing](https://youtu.be/1IFVS3vS96g)"
7,Mar-18 – Mar-22,13,"[Dense Linear Algebra (Part 1)](https://youtu.be/vt4085N6Qy8)"
,,14,"[Dense Linear Algebra (Part 2)](https://youtu.be/W4sKkol45e0)"
8,Mar-25 – Mar-29,15,"[Graph Partitioning](https://youtu.be/r4lmLPvU-9s)"
,,16,"[Automatic Performance Tuning and Sparse-Matrix-Vector-Multiplication (Part 1)](https://youtu.be/3iMGuSyM-_U)"
9,Apr-1 – Apr-5,17,"[Automatic Performance Tuning and Sparse-Matrix-Vector-Multiplication (Part 2)](https://youtu.be/9_yS2ovXTZc)"
,,18,"[Structured Grids](https://youtu.be/m6HJqolCfTQ)"
10,Apr-8 – Apr-12,19,"[Parallel Graph Algorithms](https://youtu.be/i7DIr5ZgydY)"
,,20,"[Fast Fourier Transform](https://youtu.be/iYSaWRLrGQA)"
11,Apr-15 – Apr-19,21,"[Sorting and Searching](https://youtu.be/U8Gx63SHa5A)"
,,22,"[Dynamic Load Balancing](https://youtu.be/rwy95KHOoqQ)"
12,Apr-22 – Apr-26,23,"[Hierarchical Methods for the N-Body Problem (Part 1)](https://youtu.be/QKK28AxwJLE)"
,,24,"[Hierarchical Methods for the N-Body Problem (Part 2) and Communication-Optimal Algorithms and Lower Bounds](https://youtu.be/UC9H7KP7ntw)"
